"","title","doi","arxiv_id","ads_id","altmetric_jid","issns","journal","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","type","altmetric_id","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","cited_by_wikipedia_count","score","citeulike","mendeley","connotea","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","pmid","abstract","abstract_source","pmc","cited_by_pinners_count","cited_by_videos_count","schema","is_oa","cited_by_posts_count.1","cited_by_tweeters_count.1","cited_by_accounts_count.1","cited_by_wikipedia_count.1","cited_by_weibo_count","cited_by_policies_count","isbns"
"230","Influence of the Dynamic Social Network Timeframe Type and Size on the
  Group Evolution Discovery","10.1109/asonam.2012.113","1210.5167","2012arXiv1210.5167S","arxiv",",","arXiv","4505285","5.0995569853359","3162719","22","1025048","281989","2.55240667688","204673","14","40639","81957","5.4163125091513","54188","24","19974","2","3.25","2","1","0","article","1010310",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","7","0","http://dx.doi.org/10.1109/asonam.2012.113",1350628824,1325376000,",",", ",1350628814,7,"http://www.altmetric.com/details.php?citation_id=1010310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Identification of Group Changes in Blogosphere","10.1109/asonam.2012.207","1210.5171","2012arXiv1210.5171G","arxiv",",","arXiv","4508612","5.1916753366762","3036925","20","913208","282384","2.2081528703924","141880","24","68930","81971","5.5777154324753","52711","18","15548","2","4.1","2","1","0","article","1010311",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","6","0","http://dx.doi.org/10.1109/asonam.2012.207",1350628831,1325376000,",",", ",1350628828,6,"http://www.altmetric.com/details.php?citation_id=1010311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Diffusion of Lexical Change in Social Media","10.1371/journal.pone.0113114",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4725372","5.5327771448137","85175","98","4640320","83151","8.9043382561636","3046","96","80105","145380","8.2379066577705","4780","96","140600","2908","14.556384588923","161","94","2747","article",NA,NA,1,36,31,35,2,NA,1,NA,NA,NA,NA,NA,46.626,"1","27","0","http://dx.doi.org/10.1371/journal.pone.0113114",1416483862,1388534400,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1426615890,28,"http://www.altmetric.com/details.php?citation_id=2907951","25409166","Computer-mediated communication is driving fundamental changes in the nature of written language. We investigate these changes by statistical analysis of a dataset comprising 107 million Twitter messages (authored by 2.7 million unique user accounts). Using a latent vector autoregressive model to aggregate across thousands of words, we identify high-level patterns in diffusion of linguistic change over the United States. Our model is robust to unpredictable changes in Twitter's sampling rate, and provides a probabilistic characterization of the relationship of macro-scale linguistic influence to a set of demographic and geographic predictors. The results of this analysis offer support for prior arguments that focus on geographical proximity and population size. However, demographic similarity - especially with regard to race - plays an even more central role, as cities with similar racial demographics are far more likely to share linguistic influence. Rather than moving towards a single unified ""netspeak"" dialect, language evolution in computer-mediated communication reproduces existing fault lines in spoken American English.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","High Quality Topic Extraction from Business News Explains Abnormal Financial Market Volatility","10.1371/journal.pone.0064846",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4586246","5.382841503168","1710582","61","2842139","81236","8.7601983873946","28274","63","51959","101023","7.945931104116","32403","67","67852","3897","11.573798767967","1483","61","2379","article",NA,1,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"0","26","0","http://dx.doi.org/10.1371/journal.pone.0064846",1381238267,1370476800,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1441515421,26,"http://www.altmetric.com/details.php?citation_id=1811363","23762258","Understanding the mutual relationships between information flows and social activity in society today is one of the cornerstones of the social sciences. In financial economics, the key issue in this regard is understanding and quantifying how news of all possible types (geopolitical, environmental, social, financial, economic, etc.) affects trading and the pricing of firms in organized stock markets. In this article, we seek to address this issue by performing an analysis of more than 24 million news records provided by Thompson Reuters and of their relationship with trading activity for 206 major stocks in the S&P US stock index. We show that the whole landscape of news that affects stock price movements can be automatically summarized via simple regularized regressions between trading activity and news information pieces decomposed, with the help of simple topic modeling techniques, into their ""thematic"" features. Using these methods, we are able to estimate and quantify the impacts of news on trading. We introduce network-based visualization techniques to represent the whole landscape of news information associated with a basket of stocks. The examination of the words that are representative of the topic distributions confirms that our method is able to extract the significant pieces of information influencing the stock market. Our results show that one of the most puzzling stylized facts in financial economies, namely that at certain times trading volumes appear to be ""abnormally large,"" can be partially explained by the flow of news. In this sense, our results prove that there is no ""excess trading,"" when restricting to times when news is genuinely novel and provides relevant financial information.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Professional diversity and the productivity of cities","10.1038/srep05393",NA,NA,"4f6fa8213cf058f61000bc80","xxxx-xxxx,2045-2322,","Scientific Reports","4725792","5.5532509691002","347921","92","4377922","12432","13.005082294264","1791","85","10641","110137","8.2042654717803","11702","89","98435","751","11.962301333333","92","87","659","article",NA,NA,1,7,5,7,1,NA,NA,NA,NA,NA,NA,NA,12.022,"3","40","0","http://dx.doi.org/10.1038/srep05393",1403527671,1403481600,"science,",", ",1438031685,43,"http://www.altmetric.com/details.php?citation_id=2457950","24953448","Attempts to understand the relationship between diversity, productivity and scale have remained limited due to the scheme-dependent nature of the taxonomies describing complex systems. We analyze the diversity of US metropolitan areas in terms of profession diversity and employment to show how this frequency distribution takes a universal scale-invariant form, common to all cities, in the limit of infinite resolution of occupational taxonomies. We show that this limit is obtained under general conditions that follow from the analysis of the variation of the occupational frequency across taxonomies at different resolutions in a way analogous to finite-size scaling in statistical physical systems. We propose a theoretical framework that derives the form and parameters of the limiting distribution of professions based on the appearance, in urban social networks, of new occupations as the result of specialization and coordination of labor. By deriving classification scheme-independent measures of functional diversity and modeling cities as social networks embedded in infrastructural space, these results show how standard economic arguments of division and coordination of labor can be articulated in detail in cities and provide a microscopic basis for explaining increasing returns to population scale observed at the level of entire metropolitan areas.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Early Prediction of Movie Box Office Success Based on Wikipedia Activity Big Data","10.1371/journal.pone.0071226",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4744682","5.4880204995978","12031","99","4732860","83409","8.8681278294648","511","99","82898","94023","7.8967751164621","487","99","93536","3686","11.751266214383","32","99","3654",NA,NA,4,3,125,97,119,4,1,8,NA,NA,NA,NA,1,195.082,"1","121","0","http://dx.doi.org/10.1371/journal.pone.0071226",1377120335,1377043200,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1449141011,122,"http://www.altmetric.com/details.php?citation_id=1703117","23990938","Use of socially generated ""big data"" to access information about collective states of the minds in human societies has become a new paradigm in the emerging field of computational social science. A natural application of this would be the prediction of the society's reaction to a new product in the sense of popularity and adoption rate. However, bridging the gap between ""real time monitoring"" and ""early predicting"" remains a big challenge. Here we report on an endeavor to build a minimalistic predictive model for the financial success of movies based on collective activity data of online users. We show that the popularity of a movie can be predicted much before its release by measuring and analyzing the activity level of editors and viewers of the corresponding entry to the movie in Wikipedia, the well-known online encyclopedia.","pubmed","PMC3749192",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"236","Diversity of individual mobility patterns and emergence of aggregated scaling laws","10.1038/srep02678",NA,NA,"4f6fa8213cf058f61000bc80","xxxx-xxxx,2045-2322,","Scientific Reports","4507280","5.1336924524522","2918546","31","1438502","10918","11.16184299716","6841","31","3459","97753","7.7470048899258","63518","32","31417","583","15.141635738832","389","28","169","article",NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","43","0","http://dx.doi.org/10.1038/srep02678",1379507553,1379462400,"science,",", ",1379517958,42,"http://www.altmetric.com/details.php?citation_id=1757910","24045416","Uncovering human mobility patterns is of fundamental importance to the understanding of epidemic spreading, urban transportation and other socioeconomic dynamics embodying spatiality and human travel. According to the direct travel diaries of volunteers, we show the absence of scaling properties in the displacement distribution at the individual level,while the aggregated displacement distribution follows a power law with an exponential cutoff. Given the constraint on total travelling cost, this aggregated scaling law can be analytically predicted by the mixture nature of human travel under the principle of maximum entropy. A direct corollary of such theory is that the displacement distribution of a single mode of transportation should follow an exponential law, which also gets supportive evidences in known data. We thus conclude that the travelling cost shapes the displacement distribution at the aggregated level.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Exploring the Mobility of Mobile Phone Users","10.1016/j.physa.2012.11.040","1211.6014",NA,"4f6fa5163cf058f6100037c5",",","Physica A","4505402","5.1012628106873","1649010","62","2824644","1095","2.2315447897623","221","79","869","280253","5.8318268915119","85897","68","191844","75","2.2071891891892","13","81","61","article","1091354",NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"3","62","0","http://dx.doi.org/10.1016/j.physa.2012.11.040",1354007061,1325376000,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1354541001,3,"http://www.altmetric.com/details.php?citation_id=1091354",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"238","Bootstrapping under constraint for the assessment of group behavior in human contact networks","10.1103/physreve.88.052812",NA,NA,"4f6fa6343cf058f610008518",",","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4505617","5.1020565259269","2343640","33","1500734","5151","1.6381188349515","1473","59","3078","121625","7.1740757087419","59303","34","41518","66","1.2061538461538","19","60","40","article","1948323",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","20","0","http://dx.doi.org/10.1103/physreve.88.052812",1385993305,1356998400,",","Physics and Astronomy, Mathematics, Physical Sciences, ",1385999637,20,"http://www.altmetric.com/details.php?citation_id=1948323",NA,NA,NA,NA,NA,NA,"1.5.4","FALSE",NA,NA,NA,NA,NA,NA,NA
"239","The Twitter of Babel: Mapping World Languages through Microblogging
  Platforms","10.1371/journal.pone.0061981","1212.5238",NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4757938","5.4941745664885","234","99","4757831","83576","8.8785851032008","14","99","83563","283788","6.0973708238925","9","99","283779","6496","6.8958528098537","1","99","6495",NA,NA,13,5,2563,2360,2381,1,NA,2,NA,NA,NA,NA,NA,1387.792,"1","105","0","http://dx.doi.org/10.1371/journal.pone.0061981",1356064554,1325376000,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1442821803,106,"http://www.altmetric.com/details.php?citation_id=1136962","23637940","Large scale analysis and statistics of socio-technical systems that just a few short years ago would have required the use of consistent economic and human resources can nowadays be conveniently performed by mining the enormous amount of digital data produced by human activities. Although a characterization of several aspects of our societies is emerging from the data revolution, a number of questions concerning the reliability and the biases inherent to the big data ""proxies"" of social life are still open. Here, we survey worldwide linguistic indicators and trends through the analysis of a large-scale dataset of microblogging posts. We show that available data allow for the study of language geography at scales ranging from country-level aggregation to specific city neighborhoods. The high resolution and coverage of the data allows us to investigate different indicators such as the linguistic homogeneity of different countries, the touristic seasonal patterns within countries and the geographical distribution of different languages in multilingual regions. This work highlights the potential of geolocalized studies of open data sources to improve current analysis and develop indicators for major social phenomena in specific communities.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Triadic closure dynamics drives scaling laws in social multiplex networks","10.1088/1367-2630/15/6/063008",NA,NA,"4f6fa50e3cf058f6100031c9","1367-2630,","New Journal of Physics","4505285","5.0995569853359","1793473","58","2614447","2491","3.1254305220884","514","78","1960","89586","7.2574540380644","32434","61","55080","67","2.6889090909091","14","79","53","article","1553595",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"3","6","0","http://dx.doi.org/10.1088/1367-2630/15/6/063008",1371124597,1370044800,",","Physics and Astronomy, Physical Sciences, ",1423265348,9,"http://www.altmetric.com/details.php?citation_id=1553595",NA,NA,NA,NA,NA,NA,"1.5.4","FALSE",NA,NA,NA,NA,NA,NA,NA
"241","Modeling complex systems with adaptive networks","10.1016/j.camwa.2012.12.005","1301.2561",NA,"4f6fa4ea3cf058f6100025f0",",","Computers & Mathematics with Applications","4505915","5.1093654012801","282356","93","4223261","101","2.25208","2","98","99","284032","5.9522296650717","23653","91","260357","9","1.0625","1","88","8","article","1173941",4,NA,24,14,18,NA,NA,NA,NA,NA,NA,NA,NA,12.9,"1","88","0","http://dx.doi.org/10.1016/j.camwa.2012.12.005",1358127527,1356998400,",","Mathematics, Computer Science, Physical Sciences, ",1382882725,89,"http://www.altmetric.com/details.php?citation_id=1173941",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"242","A Triclustering Approach for Time Evolving Graphs","10.1109/icdmw.2012.61","1301.2659",NA,"arxiv",",","arXiv","4508612","5.1916753366762","3038285","20","905303","282384","2.2081528703924","139983","24","69423","291925","5.9686089461642","192633","18","53584","16842","3.8996531084853","9324","28","4810","article","1175923",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","8","0","http://dx.doi.org/10.1109/icdmw.2012.61",1358213740,1325376000,",",", ",1358215614,0,"http://www.altmetric.com/details.php?citation_id=1175923",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"243","Understanding metropolitan patterns of daily encounters","10.1073/pnas.1306440110",NA,NA,"4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America","4741488","5.4862295639462","110708","97","4630807","38217","16.628157054637","3681","90","34536","91466","7.7684555841032","3947","95","87519","884","34.424584371461","214","75","670","article",NA,1,1,27,22,27,2,NA,1,NA,NA,NA,NA,NA,36.11,"2","129","0","http://dx.doi.org/10.1073/pnas.1306440110",1375737264,1375660800,"science,","General, ",1388558520,131,"http://www.altmetric.com/details.php?citation_id=1670559","23918373","Understanding of the mechanisms driving our daily face-to-face encounters is still limited; the field lacks large-scale datasets describing both individual behaviors and their collective interactions. However, here, with the help of travel smart card data, we uncover such encounter mechanisms and structures by constructing a time-resolved in-vehicle social encounter network on public buses in a city (about 5 million residents). Using a population scale dataset, we find physical encounters display reproducible temporal patterns, indicating that repeated encounters are regular and identical. On an individual scale, we find that collective regularities dominate distinct encounters' bounded nature. An individual's encounter capability is rooted in his/her daily behavioral regularity, explaining the emergence of ""familiar strangers"" in daily life. Strikingly, we find individuals with repeated encounters are not grouped into small communities, but become strongly connected over time, resulting in a large, but imperceptible, small-world contact network or ""structure of co-presence"" across the whole metropolitan area. Revealing the encounter pattern and identifying this large-scale contact network are crucial to understanding the dynamics in patterns of social acquaintances, collective human behaviors, and--particularly--disclosing the impact of human behavior on various diffusion/spreading processes.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Calling patterns in human communication dynamics","10.1073/pnas.1220433110","1301.7173",NA,"4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America","4753611","5.4914695915212","233080","95","4520768","38248","16.631544434858","6280","83","31968","285926","6.1994337396171","18542","93","267384","999","19.738006012024","244","75","755",NA,NA,NA,3,24,16,20,1,NA,NA,NA,NA,NA,NA,NA,17.606,"4","62","0","http://dx.doi.org/10.1073/pnas.1220433110",1359597746,1356998400,"science,","General, ",1411992219,66,"http://www.altmetric.com/details.php?citation_id=1209259","23319645","Modern technologies not only provide a variety of communication modes (e.g., texting, cell phone conversation, and online instant messaging), but also detailed electronic traces of these communications between individuals. These electronic traces indicate that the interactions occur in temporal bursts. Here, we study intercall duration of communications of the 100,000 most active cell phone users of a Chinese mobile phone operator. We confirm that the intercall durations follow a power-law distribution with an exponential cutoff at the population level but find differences when focusing on individual users. We apply statistical tests at the individual level and find that the intercall durations follow a power-law distribution for only 3,460 individuals (3.46%). The intercall durations for the majority (73.34%) follow a Weibull distribution. We quantify individual users using three measures: out-degree, percentage of outgoing calls, and communication diversity. We find that the cell phone users with a power-law duration distribution fall into three anomalous clusters: robot-based callers, telecom fraud, and telephone sales. This information is of interest to both academics and practitioners, mobile telecom operators in particular. In contrast, the individual users with a Weibull duration distribution form the fourth cluster of ordinary cell phone users. We also discover more information about the calling patterns of these four clusters (e.g., the probability that a user will call the c(r)-th most contact and the probability distribution of burst sizes). Our findings may enable a more detailed analysis of the huge body of data contained in the logs of massive users.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Directedness of information flow in mobile phone communication networks","10.1371/journal.pone.0028860","1302.0274",NA,"4f6fa5313cf058f6100043e3",",","PLoS ONE","4507144","5.1294364809111","924687","79","3566408","80036","8.311280964578","20925","73","58702","287295","6.1036376046837","70035","75","216099","6702","7.1320110431279","1587","75","5074",NA,NA,1,NA,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,3.5,"6","32","0","http://dx.doi.org/10.1371/journal.pone.0028860",1360552206,1293840000,",","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1360568510,6,"http://www.altmetric.com/details.php?citation_id=1231261","22216128","Without having direct access to the information that is being exchanged, traces of information flow can be obtained by looking at temporal sequences of user interactions. These sequences can be represented as causality trees whose statistics result from a complex interplay between the topology of the underlying (social) network and the time correlations among the communications. Here, we study causality trees in mobile-phone data, which can be represented as a dynamical directed network. This representation of the data reveals the existence of super-spreaders and super-receivers. We show that the tree statistics, respectively the information spreading process, are extremely sensitive to the in-out degree correlation exhibited by the users. We also learn that a given information, e.g., a rumor, would require users to retransmit it for more than 30 hours in order to cover a macroscopic fraction of the system. Our analysis indicates that topological node-node correlations of the underlying social network, while allowing the existence of information loops, they also promote information spreading. Temporal correlations, and therefore causality effects, are only visible as local phenomena and during short time scales. Consequently, the very idea that there is (intentional) information spreading beyond a small vecinity is called into question. These results are obtained through a combination of theory and data analysis techniques.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Temporal motifs reveal homophily, gender-specific patterns, and group talk in call sequences","10.1073/pnas.1307941110",NA,NA,"4f6fa5133cf058f6100033a0","1091-6490,","Proceedings of the National Academy of Sciences of the United States of America","4725876","5.5698298731288","111151","97","4614597","38180","16.740150973048","3652","90","34526","102949","8.0169826125811","4332","95","98609","910","34.42899889989","193","78","716","article",NA,1,NA,33,27,30,NA,NA,2,NA,NA,NA,NA,NA,36.5,"3","61","0","http://dx.doi.org/10.1073/pnas.1307941110",1382441309,1382313600,"science,","General, ",1409641722,64,"http://www.altmetric.com/details.php?citation_id=1847326","24145424","Recent studies on electronic communication records have shown that human communication has complex temporal structure. We study how communication patterns that involve multiple individuals are affected by attributes such as sex and age. To this end, we represent the communication records as a colored temporal network where node color is used to represent individuals' attributes, and identify patterns known as temporal motifs. We then construct a null model for the occurrence of temporal motifs that takes into account the interaction frequencies and connectivity between nodes of different colors. This null model allows us to detect significant patterns in call sequences that cannot be observed in a static network that uses interaction frequencies as link weights. We find sex-related differences in communication patterns in a large dataset of mobile phone records and show the existence of temporal homophily, the tendency of similar individuals to participate in communication patterns beyond what would be expected on the basis of their average interaction frequencies. We also show that temporal patterns differ between dense and sparse neighborhoods in the network. Because also this result is independent of interaction frequencies, it can be seen as an extension of Granovetter's hypothesis to temporal networks.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Is Europe Evolving Toward an Integrated Research Area?","10.1126/science.1227970","1302.3126",NA,"4f6fa4df3cf058f610001f6b",",","Science","4508238","5.1674528195662","50827","98","4457417","30559","24.304393939394","2576","91","27983","287595","6.1582641362477","4611","98","282984","818","41.664127294982","123","84","695","article","1238869",NA,2,76,60,64,1,NA,1,NA,NA,NA,NA,NA,62.908,"3","39","0","http://dx.doi.org/10.1126/science.1227970",1360836869,1356998400,",","General, ",1412110256,28,"http://www.altmetric.com/details.php?citation_id=1238869","23393249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","On time-varying collaboration networks","10.1016/j.joi.2012.12.005","1302.4092",NA,"4f6fa6283cf058f610007cd8",",","Journal of Informetrics","4504945","5.0973687710101","2128590","48","2177743","177","5.7776931818182","104","36","65","89301","6.2159626203807","38964","50","45135","9","12.21475","5","33","3","article","1247957",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,"1","18","0","http://dx.doi.org/10.1016/j.joi.2012.12.005",1361278513,1356998400,",","Mathematics, Computer Science, Social Sciences, Decision Sciences, Physical Sciences, ",1361279097,1,"http://www.altmetric.com/details.php?citation_id=1247957",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"249","Three-feature model to reproduce the topology of citation networks and
  the effects from authors' visibility on their h-index","10.1016/j.joi.2012.02.005","1302.4095",NA,"4f6fa6283cf058f610007cd8",",","Journal of Informetrics","4505482","5.1017741758441","2127515","48","2186918","177","5.9604090909091","111","32","58","89303","6.2295246691004","39137","51","45665","9","12.61475","7","22","2","article","1247949",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,"0","9","0","http://dx.doi.org/10.1016/j.joi.2012.02.005",1361278498,1325376000,",","Mathematics, Computer Science, Social Sciences, Decision Sciences, Physical Sciences, ",1361379813,9,"http://www.altmetric.com/details.php?citation_id=1247949",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"250","Identification of Literary Movements Using Complex Networks to Represent
  Texts","10.1088/1367-2630/14/4/043029","1302.4099","2012NJPh...14d3029A","4f6fa50e3cf058f6100031c9",",","New Journal of Physics","4505030","5.0987896285659","876292","80","3620987","2491","3.1076570281125","312","87","2179","89302","6.2202546668011","19691","77","69392","69","5.9685","10","85","59","article","1247948",NA,NA,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,3.85,"0","16","0","http://dx.doi.org/10.1088/1367-2630/14/4/043029",1361278497,1325376000,",","Physics and Astronomy, Physical Sciences, ",1361279083,16,"http://www.altmetric.com/details.php?citation_id=1247948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Using Complex Networks to Quantify Consistency in the Use of Words","10.1088/1742-5468/2012/01/p01004","1302.4107","2012JSMTE..01..004A","4f6fa62a3cf058f610007e61",",","Journal of Statistical Mechanics: Theory and Experiment","4505030","5.0987896285659","3058267","29","1335789","256","2.4127215686275","140","40","104","89302","6.2203543297388","59186","31","27823","7","0.66666666666667","3","57","4","article","1247946",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","9","0","http://dx.doi.org/10.1088/1742-5468/2012/01/p01004",1361278491,1325376000,",","Mathematics, Physics and Astronomy, Social Sciences, Decision Sciences, Physical Sciences, ",1361279076,9,"http://www.altmetric.com/details.php?citation_id=1247946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Unveiling the relationship between complex networks metrics and word
  senses","10.1209/0295-5075/98/18002","1302.4465","2012EL.....9818002A","4f6fa6173cf058f6100072d3",",","EPL (Europhysics Letters)","4504945","5.0973687710101","2011966","53","2405001","1374","1.6892702112163","247","81","1116","89365","6.2169185578085","35938","57","51190","95","0.48297872340426","6","93","89","article","1250347",NA,NA,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"1","11","0","http://dx.doi.org/10.1209/0295-5075/98/18002",1361325097,1325376000,",","Physics and Astronomy, Physical Sciences, ",1361381586,12,"http://www.altmetric.com/details.php?citation_id=1250347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Word sense disambiguation via high order of learning in complex networks","10.1209/0295-5075/98/58001","1302.4471","2012EL.....9858001S","4f6fa6173cf058f6100072d3",",","EPL (Europhysics Letters)","4505030","5.0987896285659","2011949","53","2404938","1374","1.688359796067","247","81","1116","89366","6.2216166731942","35890","57","51198","95","0.5","7","92","88","article","1250342",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"1","5","0","http://dx.doi.org/10.1209/0295-5075/98/58001",1361325093,1325376000,",","Physics and Astronomy, Physical Sciences, ",1361381587,6,"http://www.altmetric.com/details.php?citation_id=1250342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Complex networks analysis of language complexity","10.1209/0295-5075/100/58002","1302.4490",NA,"4f6fa6173cf058f6100072d3",",","EPL (Europhysics Letters)","3806397","5.0155154132025","1812731","50","1923486","1229","1.7325048859935","230","80","986","86251","6.0612598492754","34349","57","49766","95","0.4436170212766","5","94","90","article","1250337",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.5,"2","7","0","http://dx.doi.org/10.1209/0295-5075/100/58002",1361325088,1325376000,",","Physics and Astronomy, Physical Sciences, ",1401045599,9,"http://www.altmetric.com/details.php?citation_id=1250337",NA,NA,NA,NA,NA,NA,"1.5.4",NA,NA,NA,NA,NA,NA,NA,NA
"255","On the use of topological features and hierarchical characterization for
  disambiguating names in collaborative networks","10.1209/0295-5075/99/48002","1302.4504","2012EL.....9948002A","arxiv",",","arXiv","4506407","5.1217268660368","2973015","31","1398538","282142","2.3886300537675","147074","38","109051","89372","6.2753120139643","57509","32","28955","1","0","1","1","0","article","1250313",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","5","0","http://dx.doi.org/10.1209/0295-5075/99/48002",1361324547,1325376000,",",", ",1361325210,5,"http://www.altmetric.com/details.php?citation_id=1250313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Crowdsourcing for Bioinformatics.","10.1093/bioinformatics/btt333",NA,NA,"4f6fa4e93cf058f6100023d2","1460-2059,","Bioinformatics","4725876","5.5698298731288","100295","97","4625581","4429","5.9886662149955","47","98","4382","90196","7.5988326182161","3367","96","86829","19","3.717","1","94","18","article",NA,2,1,57,43,48,1,NA,NA,NA,NA,NA,1,NA,40.32,"8","159","0","http://dx.doi.org/10.1093/bioinformatics/btt333",1371695806,1356998400,",","Mathematics, Computer Science, Life Sciences, Biochemistry, Genetics and Molecular Biology, Physical Sciences, ",1425691571,167,"http://www.altmetric.com/details.php?citation_id=1569398","23782614","Bioinformatics is faced with a variety of problems that require human involvement. Tasks like genome annotation, image analysis, knowledge-base population and protein structure determination all benefit from human input. In some cases, people are needed in vast quantities, whereas in others, we need just a few with rare abilities. Crowdsourcing encompasses an emerging collection of approaches for harnessing such distributed human intelligence. Recently, the bioinformatics community has begun to apply crowdsourcing in a variety of contexts, yet few resources are available that describe how these human-powered systems work and how to use them effectively in scientific domains.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
